time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
9.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
9.5,F1,drone,friendly,True,384.1506099908498,362.4984930691288,70.0,-0.02545020708321336
9.5,F2,drone,friendly,True,412.7539510618483,357.13071686836776,70.0,0.03999514078638475
9.5,F3,drone,friendly,True,407.4397039922161,330.096619515147,70.0,0.2961441604711505
9.5,F4,drone,friendly,True,399.7845358369955,305.7174576855913,70.0,0.4838354947163101
9.5,F5,drone,friendly,True,414.5562597366809,287.08598536685355,70.0,0.4578324582646989
9.5,F6,drone,friendly,True,610.7110857002301,284.17016130166127,70.0,1.9619036469976887
9.5,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
9.5,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
9.5,H3,drone,hostile_air,True,613.8957029389157,396.0979703977541,95.0,-2.7570080910060137
9.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
10.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
10.0,F1,drone,friendly,True,403.91433677239655,361.83200026136825,70.0,-0.033710257819019304
10.0,F2,drone,friendly,True,433.66383220822104,359.0741340764228,70.0,0.09267628407129352
10.0,F3,drone,friendly,True,427.72903513439644,335.51354131659025,70.0,0.2608984045826996
10.0,F4,drone,friendly,True,416.97201376100935,314.0732198465774,70.0,0.4525096281139796
10.0,F5,drone,friendly,True,433.1445363116772,296.8571661538129,70.0,0.4839670921223451
10.0,F6,drone,friendly,True,601.7971795183672,303.184426382935,70.0,2.009174685440645
10.0,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
10.0,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
10.0,H3,drone,hostile_air,True,597.7633928381808,389.5686041944481,95.0,-2.7570080910061074
10.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
10.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
10.5,F1,drone,friendly,True,423.8171179399331,360.88677973532936,70.0,-0.047456224163849724
10.5,F2,drone,friendly,True,454.53126884783967,361.42999657060676,70.0,0.11242058116934787
10.5,F3,drone,friendly,True,448.15733988258836,340.3801998329647,70.0,0.23387179666620267
10.5,F4,drone,friendly,True,433.60265321169356,322.01599459260285,70.0,0.44556665104350973
10.5,F5,drone,friendly,True,451.4997968264936,307.0593429525761,70.0,0.5072987216295958
10.5,F6,drone,friendly,True,591.4938675135818,321.4831083500069,70.0,2.0836134152098142
10.5,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
10.5,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
10.5,H3,drone,hostile_air,True,581.5416912930252,383.0030578363835,95.0,-2.7570080910061368
10.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
11.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
11.0,F1,drone,friendly,True,443.3762160033323,360.1330430400982,70.0,-0.038517313638663675
11.0,F2,drone,friendly,True,475.4033976837633,363.7439191830999,70.0,0.11041098346038597
11.0,F3,drone,friendly,True,468.75032637072155,344.49467519436416,70.0,0.1972030888481767
11.0,F4,drone,friendly,True,449.5841390321698,329.7922389755738,70.0,0.4528527208850761
11.0,F5,drone,friendly,True,469.6941376120823,317.5458086764443,70.0,0.5228547431482375
11.0,F6,drone,friendly,True,579.3193910716659,338.593985690612,70.0,2.1892021706286493
11.0,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
11.0,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
11.0,H3,drone,hostile_air,True,565.3199897478695,376.4375114783191,95.0,-2.7570080910061474
11.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
11.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
11.5,F1,drone,friendly,True,462.6534351204766,360.0717933642577,70.0,-0.0031772979991790675
11.5,F2,drone,friendly,True,496.33413757330015,365.4480693163184,70.0,0.08123933782999504
11.5,F3,drone,friendly,True,489.2042761914629,349.2523990966724,70.0,0.22854262109103773
11.5,F4,drone,friendly,True,465.3796019550098,336.65432800285936,70.0,0.4098342709638777
11.5,F5,drone,friendly,True,487.95755933384146,327.91149374850664,70.0,0.5162289821779502
11.5,F6,drone,friendly,True,564.4610340889634,353.43410791971024,70.0,2.3568084863226755
11.5,H1,drone,hostile_ground,False,359.2281456181802,248.2081919646019,80.0,0.6260601840794499
11.5,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
11.5,H3,drone,hostile_air,False,549.0982882027138,369.8719651202548,95.0,-2.7570080910061514
11.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
